estimated_active,bin_size
119980303.64794467,501.0
120881067.38133857,501.0
121487292.12421557,501.0
120659730.23729019,501.0
121314150.29373239,501.0
120537427.50271799,501.0
120030651.938699,501.0
121385913.58865817,501.0
120191580.27652018,501.0
120631026.85392421,501.0
120073325.77009313,501.0
120850482.1795772,501.0
119195427.2375586,501.0
121517350.7336325,501.0
120837741.8020675,501.0
120536555.20161557,501.0
120657795.30718374,501.0
120864177.73395771,501.0
114418030.84075253,501.0
120486511.09502842,501.0
119514464.74228759,501.0
121620532.16399938,501.0
120552579.5561352,501.0
121365874.20233448,501.0
121216614.02346423,501.0
