estimated_active,bin_size,estimated_active_true
239023.9358,501,119750991.8
242530.2777,501,121507669.1
241265.9155,501,120874223.7
239510.1319,501,119994576.1
237719.1757,501,119097307
237468.1395,501,118971537.9
239190.2465,501,119834313.5
241418.7787,501,120950808.1
243047.9876,501,121767041.8
242041.0868,501,121262584.5
240678.539,501,120579948
241421.2359,501,120952039.2
241447.3076,501,120965101.1
237112.016,501,118793120
243403.8015,501,121945304.5
241504.6142,501,120993811.7
241769.9856,501,121126762.8
240134.7698,501,120307519.7
240344.8826,501,120412786.2
243960.6327,501,122224277
240321.5688,501,120401106
242186.8205,501,121335597.1
244107.5241,501,122297869.6
238194.4244,501,119335406.6
241052.7618,501,120767433.7
